Date,NVS,SNY,CSCO,KO,PEP,TWX
2019-10-17,71.70145416259766,40.062950134277344,40.89914321899414,46.74808120727539,120.64800262451172,
2019-10-18,71.41374969482422,39.778629302978516,40.62083435058594,47.60847091674805,120.02255249023438,
2019-10-21,71.15071868896484,39.580467224121094,41.21220779418945,47.13046646118164,119.90804290771484,
2019-10-22,71.48772430419922,39.04629898071289,41.351341247558594,46.80022430419922,120.38374328613281,
2019-10-23,71.208251953125,39.43400192260742,40.916526794433594,47.48680114746094,121.07965087890625,
2019-10-24,71.70966339111328,39.95956039428711,40.359954833984375,47.460731506347656,121.4672622680664,
2019-10-25,71.76720428466797,39.94232940673828,40.786075592041016,46.71331787109375,120.3660888671875,
2019-10-28,71.4466323852539,39.9767951965332,41.020870208740234,46.556880950927734,120.30448913574219,
2019-10-29,72.65494537353516,40.26972579956055,41.08175277709961,46.417823791503906,119.87281799316406,
2019-10-30,72.01380157470703,40.890052795410156,41.360042572021484,46.87844467163086,120.59513092041016,
2019-10-31,71.87406921386719,39.70109176635742,41.31655502319336,47.30430221557617,120.83301544189453,
2019-11-01,72.03024291992188,39.32199478149414,40.89914321899414,46.84368133544922,120.62156677246094,
2019-11-04,72.27684020996094,39.48569869995117,41.29046630859375,46.18317413330078,119.06238555908203,
2019-11-05,71.42195892333984,39.32199478149414,41.533973693847656,45.557430267333984,118.04930877685547,
2019-11-06,71.8905029296875,39.76140213012695,41.97748565673828,45.88768005371094,118.42814636230469,
2019-11-07,71.50416564941406,39.184146881103516,42.10792541503906,45.444454193115234,117.4415054321289,
2019-11-08,72.63850402832031,39.51154708862305,42.46448516845703,45.37492370605469,117.27415466308594,
2019-11-11,72.85221862792969,39.51154708862305,41.82964324951172,45.05336380004883,116.62228393554688,
2019-11-12,73.39472198486328,39.67523956298828,42.06444549560547,44.94038772583008,116.26111602783203,
2019-11-13,73.86325073242188,39.30476379394531,42.1427116394043,45.548744201660156,117.41506958007812,
2019-11-14,73.57556915283203,38.78782653808594,39.05550003051758,45.73993682861328,117.45033264160156,
2019-11-15,74.01121520996094,39.7269401550293,39.2120361328125,45.77470016479492,117.8731689453125,
2019-11-18,74.24960327148438,40.24387741088867,39.26421356201172,46.087562561035156,118.0933837890625,
2019-11-19,74.30712890625,39.82170867919922,39.54249954223633,46.13103103637695,118.54268646240234,
2019-11-20,74.41397857666016,39.589088439941406,39.203330993652344,46.2526969909668,117.81151580810547,
2019-11-21,74.41397857666016,40.64019775390625,38.99462890625,46.02674102783203,117.96126556396484,
2019-11-22,74.37288665771484,40.08018112182617,39.00331497192383,46.087562561035156,118.10222625732422,
